feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,angle
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0
1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,5.0
2.0,4.0,3.0,4.0,3.0,5.0,2.0,6.0,4.0,4.0,2.0,7.0,7.0
5.0,8.0,5.0,8.0,6.0,11.0,4.0,12.0,6.0,9.0,5.0,14.0,10.0
8.0,13.0,9.0,13.0,10.0,19.0,8.0,20.0,10.0,17.0,8.0,24.0,12.0
12.0,21.0,14.0,21.0,14.0,29.0,12.0,32.0,15.0,26.0,12.0,37.0,14.0
17.0,30.0,21.0,30.0,20.0,40.0,17.0,46.0,21.0,37.0,18.0,54.0,17.0
23.0,41.0,29.0,42.0,26.0,53.0,24.0,63.0,27.0,50.0,25.0,74.0,19.0
29.0,53.0,39.0,56.0,32.0,67.0,32.0,83.0,32.0,63.0,33.0,98.0,22.0
36.0,65.0,50.0,71.0,37.0,81.0,40.0,104.0,37.0,75.0,42.0,123.0,24.0
42.0,78.0,62.0,88.0,42.0,94.0,49.0,127.0,41.0,87.0,52.0,148.0,26.0
47.0,91.0,75.0,106.0,46.0,107.0,59.0,149.0,44.0,97.0,61.0,173.0,29.0
53.0,104.0,89.0,124.0,49.0,118.0,68.0,171.0,46.0,106.0,70.0,197.0,31.0
57.0,116.0,103.0,143.0,51.0,127.0,77.0,191.0,46.0,112.0,78.0,218.0,34.0
61.0,127.0,116.0,161.0,52.0,134.0,84.0,209.0,45.0,117.0,84.0,235.0,36.0
64.0,137.0,129.0,178.0,52.0,140.0,91.0,225.0,44.0,118.0,88.0,247.0,38.0
67.0,146.0,141.0,195.0,52.0,144.0,96.0,238.0,42.0,118.0,90.0,254.0,41.0
69.0,154.0,152.0,209.0,51.0,146.0,99.0,247.0,39.0,115.0,90.0,255.0,43.0
70.0,160.0,161.0,222.0,50.0,146.0,101.0,253.0,37.0,110.0,87.0,250.0,46.0
71.0,165.0,168.0,232.0,49.0,145.0,102.0,255.0,33.0,103.0,81.0,240.0,48.0
71.0,169.0,173.0,241.0,48.0,143.0,101.0,255.0,30.0,95.0,75.0,224.0,50.0
71.0,171.0,177.0,247.0,47.0,140.0,100.0,252.0,27.0,85.0,69.0,205.0,53.0
71.0,172.0,180.0,251.0,46.0,137.0,98.0,248.0,23.0,76.0,64.0,186.0,55.0
70.0,172.0,182.0,253.0,45.0,135.0,97.0,244.0,20.0,67.0,60.0,170.0,58.0
69.0,171.0,183.0,254.0,45.0,132.0,95.0,239.0,17.0,60.0,57.0,156.0,60.0
68.0,170.0,184.0,255.0,45.0,130.0,93.0,235.0,15.0,54.0,55.0,146.0,63.0
67.0,168.0,185.0,255.0,44.0,128.0,92.0,231.0,14.0,50.0,55.0,139.0,65.0
65.0,166.0,186.0,255.0,44.0,126.0,90.0,227.0,12.0,47.0,55.0,135.0,67.0
64.0,165.0,187.0,255.0,44.0,125.0,89.0,223.0,12.0,46.0,56.0,134.0,70.0
63.0,163.0,188.0,254.0,44.0,123.0,87.0,219.0,11.0,45.0,57.0,133.0,72.0
62.0,162.0,189.0,254.0,44.0,122.0,86.0,216.0,11.0,45.0,58.0,134.0,75.0
61.0,160.0,190.0,254.0,44.0,120.0,85.0,212.0,11.0,45.0,59.0,134.0,77.0
60.0,159.0,191.0,254.0,43.0,119.0,84.0,209.0,11.0,45.0,60.0,134.0,79.0
59.0,158.0,192.0,253.0,43.0,117.0,83.0,206.0,10.0,46.0,60.0,134.0,82.0
58.0,156.0,193.0,253.0,43.0,116.0,82.0,203.0,10.0,47.0,59.0,132.0,84.0
57.0,155.0,193.0,253.0,43.0,115.0,81.0,201.0,9.0,47.0,57.0,130.0,87.0
56.0,155.0,194.0,252.0,43.0,113.0,79.0,198.0,9.0,48.0,54.0,126.0,89.0
55.0,154.0,194.0,251.0,43.0,112.0,78.0,196.0,9.0,48.0,50.0,122.0,91.0
54.0,153.0,193.0,251.0,43.0,111.0,77.0,193.0,9.0,48.0,46.0,117.0,94.0
53.0,152.0,192.0,249.0,42.0,110.0,77.0,191.0,11.0,48.0,42.0,112.0,96.0
53.0,152.0,191.0,248.0,42.0,108.0,76.0,189.0,14.0,49.0,38.0,107.0,99.0
53.0,151.0,190.0,247.0,41.0,107.0,75.0,187.0,19.0,48.0,35.0,101.0,101.0
53.0,150.0,188.0,245.0,41.0,106.0,75.0,186.0,24.0,48.0,33.0,95.0,104.0
54.0,149.0,187.0,243.0,41.0,105.0,74.0,185.0,31.0,47.0,32.0,89.0,106.0
55.0,149.0,185.0,241.0,41.0,104.0,74.0,184.0,38.0,45.0,32.0,83.0,109.0
56.0,148.0,184.0,239.0,42.0,103.0,73.0,183.0,45.0,42.0,32.0,76.0,111.0
58.0,147.0,183.0,237.0,43.0,103.0,73.0,182.0,52.0,39.0,33.0,70.0,114.0
60.0,146.0,182.0,234.0,45.0,102.0,73.0,182.0,57.0,35.0,33.0,64.0,116.0
62.0,144.0,180.0,232.0,48.0,102.0,72.0,182.0,62.0,31.0,32.0,59.0,118.0
64.0,143.0,179.0,229.0,50.0,102.0,72.0,182.0,64.0,28.0,31.0,54.0,119.0
66.0,141.0,178.0,226.0,52.0,102.0,71.0,182.0,65.0,26.0,29.0,49.0,119.0
68.0,140.0,176.0,224.0,54.0,101.0,71.0,182.0,64.0,24.0,27.0,45.0,119.0
70.0,138.0,175.0,221.0,55.0,102.0,71.0,183.0,61.0,23.0,25.0,41.0,119.0
71.0,137.0,173.0,218.0,56.0,102.0,71.0,183.0,57.0,21.0,23.0,38.0,119.0
72.0,135.0,172.0,215.0,56.0,102.0,71.0,184.0,52.0,20.0,22.0,34.0,119.0
73.0,134.0,170.0,213.0,56.0,102.0,71.0,185.0,48.0,19.0,21.0,32.0,119.0
74.0,132.0,168.0,210.0,56.0,102.0,71.0,185.0,44.0,18.0,21.0,29.0,119.0
75.0,131.0,167.0,207.0,56.0,102.0,71.0,186.0,41.0,16.0,21.0,27.0,119.0
75.0,129.0,165.0,204.0,55.0,102.0,71.0,187.0,39.0,15.0,21.0,24.0,119.0
75.0,127.0,164.0,202.0,55.0,103.0,71.0,188.0,37.0,13.0,22.0,22.0,119.0
76.0,126.0,163.0,199.0,55.0,103.0,70.0,188.0,37.0,12.0,23.0,20.0,119.0
76.0,124.0,162.0,196.0,54.0,103.0,70.0,189.0,37.0,11.0,24.0,18.0,119.0
76.0,123.0,160.0,194.0,54.0,103.0,70.0,190.0,38.0,11.0,24.0,17.0,119.0
77.0,121.0,159.0,191.0,54.0,104.0,70.0,191.0,39.0,11.0,25.0,17.0,119.0
77.0,120.0,158.0,189.0,53.0,104.0,69.0,191.0,40.0,11.0,25.0,19.0,119.0
78.0,119.0,157.0,186.0,53.0,104.0,69.0,191.0,41.0,11.0,25.0,20.0,119.0
78.0,117.0,156.0,184.0,53.0,104.0,69.0,192.0,42.0,12.0,24.0,22.0,119.0
79.0,116.0,155.0,182.0,53.0,104.0,69.0,192.0,42.0,13.0,23.0,24.0,119.0
79.0,115.0,154.0,180.0,52.0,104.0,69.0,192.0,42.0,15.0,22.0,26.0,119.0
80.0,114.0,153.0,178.0,52.0,104.0,69.0,192.0,42.0,17.0,20.0,27.0,119.0
80.0,113.0,152.0,177.0,52.0,104.0,68.0,191.0,42.0,18.0,18.0,28.0,119.0
80.0,112.0,151.0,175.0,52.0,103.0,68.0,191.0,41.0,20.0,16.0,28.0,119.0
81.0,111.0,149.0,173.0,52.0,103.0,69.0,191.0,41.0,22.0,15.0,29.0,119.0
81.0,111.0,148.0,172.0,51.0,103.0,69.0,191.0,40.0,23.0,13.0,29.0,119.0
81.0,110.0,147.0,170.0,51.0,102.0,69.0,190.0,40.0,24.0,12.0,30.0,119.0
82.0,109.0,145.0,168.0,51.0,102.0,69.0,190.0,40.0,25.0,10.0,30.0,119.0
82.0,109.0,144.0,167.0,51.0,101.0,69.0,190.0,40.0,25.0,9.0,31.0,119.0
82.0,108.0,142.0,166.0,50.0,101.0,69.0,189.0,40.0,26.0,9.0,32.0,119.0
83.0,108.0,141.0,164.0,50.0,100.0,70.0,189.0,40.0,26.0,8.0,32.0,119.0
83.0,107.0,140.0,163.0,50.0,100.0,70.0,188.0,40.0,26.0,8.0,33.0,119.0
83.0,107.0,138.0,162.0,50.0,99.0,70.0,188.0,40.0,26.0,8.0,33.0,119.0
83.0,106.0,137.0,160.0,49.0,99.0,70.0,187.0,40.0,25.0,8.0,33.0,119.0
84.0,106.0,136.0,159.0,49.0,99.0,70.0,187.0,40.0,25.0,8.0,32.0,120.0
84.0,105.0,134.0,158.0,49.0,98.0,70.0,186.0,39.0,24.0,9.0,31.0,120.0
84.0,104.0,133.0,157.0,49.0,98.0,71.0,186.0,38.0,23.0,9.0,30.0,120.0
84.0,104.0,132.0,156.0,48.0,97.0,71.0,186.0,37.0,21.0,9.0,28.0,120.0
84.0,103.0,131.0,154.0,48.0,97.0,71.0,185.0,35.0,20.0,9.0,25.0,120.0
84.0,103.0,130.0,153.0,48.0,97.0,71.0,185.0,33.0,19.0,10.0,23.0,120.0
84.0,102.0,129.0,152.0,48.0,97.0,71.0,185.0,31.0,18.0,10.0,21.0,120.0
84.0,101.0,128.0,150.0,47.0,96.0,71.0,184.0,28.0,16.0,9.0,20.0,120.0
84.0,101.0,127.0,149.0,47.0,96.0,71.0,184.0,26.0,15.0,9.0,20.0,120.0
84.0,100.0,126.0,148.0,47.0,96.0,71.0,184.0,23.0,14.0,9.0,19.0,120.0
83.0,99.0,125.0,147.0,47.0,96.0,71.0,184.0,21.0,13.0,9.0,19.0,120.0
83.0,99.0,124.0,145.0,47.0,96.0,71.0,183.0,18.0,13.0,8.0,20.0,120.0
83.0,98.0,123.0,144.0,47.0,96.0,71.0,183.0,16.0,12.0,7.0,20.0,120.0
82.0,97.0,122.0,143.0,47.0,96.0,71.0,183.0,14.0,11.0,7.0,20.0,120.0
82.0,96.0,121.0,142.0,47.0,96.0,71.0,183.0,12.0,11.0,6.0,20.0,120.0
81.0,96.0,120.0,141.0,47.0,96.0,71.0,182.0,10.0,10.0,6.0,21.0,120.0
80.0,95.0,119.0,140.0,47.0,95.0,71.0,182.0,9.0,10.0,5.0,22.0,120.0
80.0,94.0,118.0,139.0,48.0,95.0,71.0,181.0,8.0,9.0,4.0,22.0,120.0
79.0,94.0,117.0,138.0,48.0,95.0,71.0,181.0,7.0,9.0,4.0,23.0,120.0
78.0,93.0,116.0,137.0,48.0,95.0,71.0,181.0,6.0,8.0,4.0,24.0,120.0
78.0,92.0,115.0,136.0,48.0,95.0,71.0,180.0,6.0,8.0,3.0,25.0,120.0
77.0,91.0,114.0,135.0,49.0,95.0,71.0,180.0,5.0,8.0,3.0,26.0,120.0
77.0,91.0,113.0,135.0,49.0,95.0,72.0,179.0,5.0,7.0,3.0,27.0,119.0
76.0,90.0,112.0,134.0,49.0,95.0,72.0,179.0,5.0,7.0,2.0,28.0,119.0
75.0,89.0,111.0,133.0,50.0,95.0,72.0,178.0,4.0,6.0,2.0,28.0,120.0
75.0,89.0,110.0,132.0,50.0,95.0,72.0,178.0,4.0,6.0,2.0,28.0,120.0
74.0,88.0,109.0,131.0,50.0,95.0,72.0,177.0,4.0,5.0,2.0,27.0,120.0
73.0,87.0,108.0,131.0,50.0,95.0,72.0,177.0,5.0,5.0,2.0,26.0,120.0
73.0,87.0,107.0,130.0,50.0,95.0,72.0,177.0,6.0,5.0,2.0,25.0,120.0
72.0,86.0,106.0,129.0,51.0,95.0,72.0,176.0,7.0,6.0,2.0,24.0,120.0
72.0,85.0,105.0,128.0,51.0,95.0,72.0,176.0,9.0,6.0,2.0,22.0,120.0
72.0,85.0,104.0,127.0,51.0,95.0,72.0,175.0,11.0,7.0,3.0,20.0,120.0
71.0,84.0,103.0,127.0,51.0,95.0,72.0,175.0,13.0,9.0,4.0,19.0,120.0
71.0,84.0,103.0,126.0,50.0,95.0,72.0,175.0,16.0,10.0,4.0,17.0,120.0
71.0,83.0,102.0,125.0,50.0,94.0,72.0,175.0,18.0,11.0,5.0,15.0,120.0
71.0,83.0,101.0,124.0,50.0,94.0,72.0,174.0,20.0,12.0,5.0,13.0,120.0
70.0,82.0,101.0,123.0,50.0,94.0,72.0,174.0,21.0,13.0,6.0,12.0,120.0
70.0,82.0,100.0,122.0,50.0,94.0,72.0,174.0,22.0,13.0,6.0,10.0,120.0
70.0,82.0,99.0,121.0,50.0,93.0,72.0,174.0,23.0,14.0,7.0,9.0,120.0
70.0,81.0,99.0,121.0,49.0,93.0,71.0,174.0,23.0,14.0,7.0,8.0,120.0
70.0,81.0,98.0,120.0,49.0,93.0,71.0,173.0,22.0,14.0,7.0,7.0,120.0
70.0,80.0,97.0,119.0,49.0,93.0,71.0,173.0,21.0,13.0,7.0,6.0,120.0
70.0,81.0,98.0,119.0,49.0,93.0,71.0,173.0,20.0,13.0,8.0,6.0,120.0
71.0,81.0,98.0,119.0,48.0,92.0,71.0,173.0,19.0,13.0,8.0,5.0,120.0
71.0,81.0,98.0,119.0,48.0,92.0,71.0,173.0,18.0,13.0,9.0,4.0,120.0
71.0,81.0,98.0,119.0,47.0,92.0,71.0,173.0,17.0,13.0,9.0,4.0,120.0
72.0,81.0,99.0,119.0,47.0,92.0,71.0,173.0,16.0,12.0,10.0,3.0,120.0
72.0,81.0,99.0,118.0,47.0,92.0,71.0,174.0,15.0,12.0,10.0,3.0,120.0
72.0,81.0,99.0,118.0,47.0,92.0,71.0,174.0,14.0,11.0,11.0,3.0,120.0
71.0,80.0,98.0,117.0,47.0,92.0,71.0,175.0,13.0,10.0,11.0,3.0,120.0
71.0,80.0,98.0,116.0,47.0,92.0,71.0,175.0,11.0,10.0,11.0,3.0,120.0
71.0,79.0,97.0,115.0,48.0,92.0,71.0,176.0,10.0,9.0,11.0,4.0,120.0
70.0,77.0,96.0,113.0,48.0,91.0,71.0,176.0,9.0,9.0,11.0,5.0,120.0
69.0,76.0,95.0,111.0,48.0,90.0,71.0,175.0,9.0,8.0,10.0,5.0,120.0
68.0,74.0,93.0,108.0,48.0,88.0,70.0,173.0,8.0,8.0,9.0,6.0,120.0
68.0,72.0,92.0,106.0,48.0,86.0,69.0,171.0,9.0,8.0,9.0,7.0,120.0
67.0,70.0,89.0,102.0,48.0,83.0,68.0,167.0,9.0,8.0,8.0,7.0,120.0
66.0,67.0,87.0,99.0,48.0,79.0,66.0,162.0,10.0,8.0,8.0,8.0,120.0
65.0,65.0,85.0,95.0,48.0,74.0,64.0,156.0,10.0,8.0,8.0,9.0,120.0
65.0,63.0,82.0,92.0,48.0,70.0,62.0,149.0,11.0,8.0,8.0,10.0,120.0
64.0,61.0,80.0,88.0,47.0,65.0,59.0,142.0,12.0,8.0,8.0,11.0,120.0
64.0,59.0,77.0,85.0,47.0,61.0,57.0,134.0,13.0,8.0,9.0,12.0,120.0
63.0,57.0,75.0,81.0,48.0,56.0,54.0,127.0,14.0,8.0,9.0,13.0,120.0
63.0,55.0,73.0,78.0,48.0,53.0,53.0,120.0,15.0,8.0,10.0,13.0,120.0
63.0,53.0,71.0,75.0,48.0,50.0,51.0,114.0,16.0,8.0,10.0,14.0,120.0
62.0,52.0,70.0,73.0,48.0,47.0,50.0,109.0,17.0,8.0,11.0,14.0,120.0
62.0,51.0,68.0,70.0,48.0,45.0,48.0,105.0,17.0,7.0,12.0,14.0,120.0
62.0,50.0,67.0,68.0,48.0,44.0,47.0,102.0,18.0,7.0,12.0,14.0,120.0
62.0,49.0,65.0,66.0,48.0,43.0,46.0,99.0,18.0,6.0,12.0,14.0,120.0
63.0,48.0,64.0,65.0,48.0,42.0,45.0,96.0,18.0,5.0,12.0,14.0,120.0
63.0,47.0,63.0,63.0,48.0,42.0,44.0,93.0,18.0,5.0,12.0,14.0,120.0
63.0,46.0,61.0,61.0,47.0,41.0,43.0,91.0,18.0,5.0,12.0,13.0,120.0
63.0,45.0,60.0,59.0,47.0,41.0,42.0,88.0,17.0,4.0,12.0,12.0,120.0
63.0,44.0,59.0,57.0,47.0,40.0,40.0,85.0,17.0,4.0,11.0,12.0,120.0
63.0,44.0,57.0,55.0,47.0,40.0,39.0,82.0,16.0,4.0,11.0,11.0,120.0
63.0,43.0,55.0,54.0,47.0,39.0,37.0,78.0,16.0,4.0,10.0,11.0,120.0
63.0,42.0,54.0,52.0,47.0,39.0,35.0,74.0,15.0,4.0,9.0,10.0,120.0
63.0,41.0,52.0,50.0,47.0,38.0,33.0,71.0,14.0,4.0,9.0,11.0,120.0
64.0,40.0,51.0,48.0,47.0,37.0,31.0,67.0,14.0,4.0,8.0,11.0,120.0
64.0,39.0,49.0,47.0,47.0,36.0,29.0,63.0,13.0,5.0,7.0,12.0,120.0
64.0,38.0,48.0,45.0,47.0,35.0,28.0,59.0,12.0,5.0,6.0,13.0,120.0
64.0,37.0,47.0,43.0,47.0,34.0,27.0,55.0,11.0,5.0,6.0,13.0,120.0
64.0,37.0,46.0,42.0,47.0,32.0,26.0,51.0,10.0,5.0,5.0,14.0,120.0
64.0,36.0,45.0,41.0,47.0,31.0,25.0,47.0,9.0,5.0,5.0,15.0,120.0
63.0,35.0,44.0,39.0,47.0,29.0,24.0,44.0,9.0,5.0,5.0,16.0,120.0
63.0,34.0,43.0,38.0,47.0,28.0,24.0,40.0,9.0,5.0,5.0,17.0,120.0
63.0,33.0,42.0,37.0,47.0,26.0,23.0,37.0,10.0,5.0,5.0,17.0,120.0
62.0,32.0,41.0,36.0,47.0,25.0,22.0,34.0,11.0,4.0,6.0,17.0,120.0
61.0,31.0,40.0,35.0,47.0,24.0,22.0,32.0,12.0,4.0,6.0,17.0,120.0
60.0,31.0,40.0,34.0,46.0,23.0,21.0,29.0,12.0,4.0,7.0,17.0,120.0
59.0,30.0,39.0,34.0,46.0,22.0,20.0,27.0,13.0,4.0,8.0,17.0,120.0
58.0,30.0,38.0,33.0,45.0,21.0,19.0,26.0,14.0,4.0,8.0,17.0,120.0
57.0,29.0,37.0,33.0,43.0,21.0,19.0,25.0,14.0,4.0,8.0,16.0,120.0
56.0,29.0,37.0,32.0,42.0,20.0,18.0,24.0,14.0,4.0,9.0,15.0,120.0
55.0,28.0,36.0,32.0,40.0,20.0,18.0,23.0,15.0,4.0,9.0,14.0,120.0
54.0,28.0,36.0,31.0,39.0,20.0,17.0,22.0,15.0,4.0,9.0,13.0,120.0
53.0,28.0,35.0,31.0,38.0,20.0,17.0,22.0,15.0,5.0,9.0,12.0,120.0
52.0,27.0,35.0,30.0,37.0,20.0,16.0,21.0,16.0,5.0,9.0,11.0,120.0
52.0,27.0,35.0,30.0,36.0,20.0,16.0,21.0,17.0,6.0,9.0,10.0,120.0
51.0,27.0,34.0,30.0,36.0,20.0,16.0,21.0,17.0,7.0,9.0,9.0,120.0
51.0,27.0,34.0,30.0,35.0,20.0,16.0,21.0,18.0,8.0,9.0,8.0,120.0
50.0,26.0,33.0,29.0,35.0,20.0,15.0,21.0,19.0,9.0,9.0,8.0,120.0
50.0,26.0,33.0,29.0,35.0,20.0,15.0,21.0,19.0,10.0,9.0,8.0,120.0
50.0,26.0,33.0,29.0,34.0,20.0,15.0,21.0,20.0,10.0,9.0,8.0,120.0
49.0,26.0,32.0,29.0,34.0,20.0,14.0,21.0,20.0,10.0,9.0,8.0,119.0
49.0,26.0,32.0,29.0,34.0,20.0,13.0,22.0,20.0,10.0,9.0,7.0,119.0
48.0,26.0,31.0,28.0,33.0,20.0,13.0,22.0,19.0,9.0,9.0,7.0,119.0
48.0,26.0,31.0,28.0,33.0,20.0,12.0,22.0,18.0,9.0,8.0,7.0,119.0
47.0,26.0,30.0,28.0,32.0,20.0,11.0,22.0,17.0,9.0,8.0,7.0,119.0
47.0,26.0,30.0,28.0,32.0,20.0,11.0,22.0,16.0,9.0,7.0,7.0,119.0
46.0,26.0,29.0,28.0,31.0,20.0,10.0,22.0,14.0,10.0,6.0,7.0,119.0
46.0,26.0,29.0,27.0,31.0,20.0,9.0,22.0,13.0,10.0,5.0,8.0,119.0
45.0,26.0,28.0,27.0,30.0,19.0,9.0,22.0,11.0,11.0,5.0,8.0,119.0
44.0,26.0,28.0,27.0,29.0,19.0,8.0,22.0,10.0,12.0,4.0,8.0,119.0
43.0,26.0,27.0,26.0,29.0,19.0,8.0,22.0,9.0,13.0,4.0,8.0,119.0
43.0,25.0,27.0,26.0,28.0,19.0,8.0,22.0,8.0,14.0,3.0,8.0,119.0
42.0,25.0,27.0,26.0,28.0,19.0,8.0,21.0,7.0,14.0,3.0,8.0,119.0
41.0,25.0,26.0,26.0,27.0,18.0,8.0,21.0,6.0,14.0,2.0,8.0,119.0
41.0,25.0,26.0,25.0,27.0,18.0,8.0,21.0,6.0,13.0,2.0,8.0,119.0
40.0,25.0,26.0,25.0,26.0,17.0,8.0,21.0,6.0,13.0,2.0,8.0,119.0
39.0,24.0,26.0,24.0,25.0,17.0,8.0,20.0,6.0,12.0,2.0,8.0,119.0
38.0,24.0,26.0,24.0,24.0,16.0,8.0,20.0,7.0,11.0,2.0,7.0,119.0
38.0,24.0,25.0,24.0,24.0,15.0,9.0,20.0,7.0,11.0,2.0,7.0,119.0
37.0,23.0,25.0,23.0,23.0,15.0,9.0,19.0,7.0,10.0,2.0,7.0,119.0
36.0,23.0,25.0,23.0,22.0,14.0,9.0,19.0,7.0,10.0,3.0,6.0,119.0
35.0,23.0,25.0,23.0,21.0,13.0,9.0,18.0,7.0,10.0,3.0,6.0,119.0
35.0,22.0,25.0,22.0,20.0,12.0,9.0,18.0,7.0,10.0,3.0,6.0,119.0
34.0,22.0,25.0,22.0,19.0,12.0,9.0,18.0,7.0,10.0,3.0,7.0,119.0
33.0,22.0,24.0,22.0,18.0,11.0,9.0,17.0,8.0,9.0,3.0,7.0,119.0
33.0,22.0,24.0,21.0,17.0,11.0,9.0,17.0,9.0,9.0,3.0,8.0,119.0
32.0,21.0,24.0,21.0,16.0,10.0,9.0,17.0,10.0,9.0,4.0,9.0,119.0
32.0,21.0,24.0,21.0,16.0,10.0,9.0,17.0,11.0,8.0,4.0,9.0,119.0
32.0,21.0,24.0,21.0,15.0,10.0,9.0,17.0,13.0,8.0,5.0,10.0,119.0
31.0,21.0,24.0,21.0,15.0,10.0,9.0,17.0,16.0,8.0,6.0,10.0,119.0
31.0,21.0,24.0,20.0,15.0,10.0,9.0,17.0,18.0,8.0,7.0,10.0,119.0
31.0,21.0,23.0,20.0,15.0,9.0,9.0,16.0,20.0,8.0,8.0,10.0,119.0
31.0,21.0,24.0,20.0,15.0,9.0,9.0,16.0,23.0,8.0,9.0,9.0,119.0
32.0,21.0,24.0,20.0,15.0,9.0,9.0,16.0,25.0,8.0,10.0,9.0,119.0
32.0,21.0,24.0,20.0,15.0,9.0,9.0,16.0,26.0,8.0,11.0,8.0,119.0
32.0,20.0,24.0,20.0,16.0,9.0,9.0,16.0,27.0,8.0,12.0,8.0,119.0
33.0,20.0,24.0,19.0,16.0,9.0,9.0,16.0,28.0,7.0,13.0,7.0,119.0
33.0,20.0,24.0,19.0,17.0,9.0,9.0,16.0,28.0,6.0,13.0,7.0,119.0
33.0,20.0,25.0,19.0,17.0,9.0,9.0,16.0,28.0,6.0,13.0,6.0,119.0
34.0,20.0,25.0,19.0,17.0,9.0,10.0,16.0,27.0,5.0,13.0,5.0,119.0
34.0,20.0,25.0,18.0,17.0,9.0,10.0,15.0,25.0,4.0,13.0,5.0,119.0
35.0,20.0,26.0,18.0,17.0,10.0,10.0,15.0,23.0,4.0,13.0,4.0,119.0
35.0,20.0,26.0,18.0,17.0,10.0,10.0,15.0,21.0,4.0,12.0,4.0,119.0
35.0,20.0,26.0,17.0,17.0,10.0,10.0,14.0,19.0,3.0,11.0,4.0,119.0
36.0,20.0,26.0,17.0,17.0,10.0,10.0,14.0,17.0,3.0,10.0,3.0,119.0
36.0,20.0,27.0,17.0,17.0,10.0,10.0,13.0,14.0,3.0,9.0,3.0,119.0
36.0,20.0,27.0,16.0,17.0,10.0,9.0,13.0,12.0,4.0,8.0,3.0,119.0
36.0,20.0,27.0,16.0,16.0,10.0,9.0,12.0,10.0,4.0,7.0,4.0,119.0
36.0,20.0,27.0,16.0,16.0,10.0,9.0,12.0,9.0,4.0,7.0,3.0,119.0
36.0,20.0,27.0,15.0,16.0,10.0,9.0,12.0,8.0,5.0,6.0,3.0,119.0
36.0,20.0,27.0,15.0,16.0,10.0,9.0,11.0,7.0,5.0,6.0,3.0,119.0
36.0,20.0,27.0,15.0,16.0,10.0,9.0,11.0,7.0,5.0,6.0,3.0,119.0
36.0,20.0,28.0,14.0,16.0,10.0,9.0,11.0,6.0,5.0,6.0,3.0,118.0
36.0,19.0,28.0,14.0,17.0,10.0,9.0,10.0,6.0,5.0,6.0,3.0,118.0
36.0,19.0,28.0,14.0,17.0,10.0,9.0,10.0,6.0,5.0,6.0,3.0,118.0
35.0,19.0,28.0,14.0,17.0,10.0,9.0,10.0,6.0,4.0,7.0,3.0,118.0
35.0,19.0,28.0,14.0,17.0,10.0,9.0,10.0,5.0,4.0,7.0,3.0,118.0
35.0,19.0,28.0,14.0,17.0,10.0,9.0,10.0,5.0,4.0,7.0,3.0,118.0
34.0,19.0,28.0,14.0,17.0,10.0,9.0,10.0,5.0,4.0,7.0,3.0,118.0
34.0,18.0,28.0,13.0,17.0,10.0,9.0,11.0,5.0,4.0,6.0,4.0,118.0
34.0,18.0,28.0,13.0,17.0,10.0,9.0,11.0,5.0,4.0,6.0,4.0,118.0
33.0,18.0,28.0,13.0,17.0,10.0,9.0,11.0,5.0,5.0,6.0,4.0,118.0
33.0,18.0,28.0,13.0,17.0,10.0,9.0,11.0,5.0,6.0,5.0,4.0,118.0
33.0,18.0,28.0,13.0,17.0,9.0,9.0,11.0,5.0,8.0,5.0,4.0,118.0
32.0,18.0,28.0,13.0,17.0,9.0,9.0,11.0,5.0,9.0,5.0,5.0,118.0
32.0,18.0,27.0,13.0,17.0,9.0,9.0,11.0,5.0,11.0,5.0,5.0,118.0
32.0,18.0,27.0,13.0,17.0,9.0,9.0,11.0,4.0,13.0,5.0,5.0,117.0
31.0,18.0,27.0,13.0,18.0,9.0,9.0,11.0,4.0,14.0,5.0,6.0,117.0
31.0,18.0,27.0,13.0,18.0,9.0,9.0,11.0,4.0,15.0,6.0,6.0,117.0
31.0,18.0,27.0,13.0,18.0,10.0,9.0,10.0,5.0,16.0,6.0,6.0,117.0
31.0,18.0,27.0,13.0,18.0,10.0,9.0,10.0,5.0,17.0,6.0,7.0,117.0
31.0,18.0,27.0,14.0,18.0,10.0,9.0,10.0,5.0,17.0,6.0,7.0,117.0
31.0,18.0,26.0,14.0,18.0,11.0,9.0,10.0,5.0,16.0,6.0,7.0,117.0
31.0,19.0,26.0,14.0,18.0,11.0,9.0,10.0,6.0,16.0,7.0,7.0,117.0
30.0,19.0,26.0,14.0,18.0,11.0,9.0,10.0,6.0,15.0,6.0,7.0,117.0
30.0,19.0,26.0,14.0,18.0,11.0,9.0,10.0,6.0,14.0,6.0,7.0,117.0
30.0,19.0,26.0,14.0,18.0,11.0,9.0,10.0,7.0,13.0,6.0,6.0,117.0
30.0,19.0,26.0,14.0,18.0,11.0,9.0,10.0,7.0,13.0,5.0,6.0,117.0
30.0,19.0,26.0,14.0,18.0,11.0,9.0,10.0,7.0,13.0,5.0,6.0,117.0
30.0,19.0,26.0,14.0,18.0,12.0,9.0,10.0,7.0,13.0,5.0,6.0,117.0
30.0,19.0,26.0,13.0,19.0,12.0,9.0,10.0,7.0,14.0,4.0,6.0,117.0
